Parameter,ParameterValue,Mean,Variance,FanoFactor,Stationary
dₘ,0.01,10102.327777777775,406495.1936374922,40.23777515234312,Yes
dₘ,0.02,5018.866666666667,198419.2446927372,39.53467144496179,Yes
dₘ,0.03,3332.616666666667,74737.98072625701,22.426215854285775,Yes
dₘ,0.04,2487.061111111112,47585.40965238981,19.133188742246343,Yes
dₘ,0.05,1989.0833333333333,31020.668994413383,15.595459714816734,Yes
dₘ,0.06,1660.8111111111116,27475.31607697082,16.543311815025945,Yes
dₘ,0.07,1423.755555555556,21151.548851644955,14.85616598236312,Yes
dₘ,0.08,1244.688888888889,19074.807697082557,15.324960210828497,Yes
dₘ,0.09,1088.85,10459.256703910609,9.605782893796768,Yes
dₘ,0.1,991.0666666666665,10352.922905027932,10.446242672905893,Yes
dₘ,0.2,492.47222222222223,2307.9936374922404,4.686545826031962,Yes
dₘ,0.3,335.288888888889,1476.3406579764116,4.4031899263612475,Yes
dₘ,0.4,251.59999999999994,947.0234636871508,3.764004227691379,Yes
dₘ,0.5,198.0222222222221,551.1726877715703,2.7833880540591043,Yes
dₘ,0.6,166.64444444444453,479.52650527622626,2.8775427040178916,Yes
dₘ,0.7,142.87222222222212,436.51430788330237,3.055277653653011,Yes
dₘ,0.8,123.71666666666661,225.99189944134068,1.826689204698969,Yes
dₘ,0.9,112.75555555555559,235.4818125387957,2.0884275845971234,Yes
dₘ,1.0,99.2222222222222,225.4475481067661,2.2721477412775983,Yes
