Parameter,ParameterValue,Mean,Variance,FanoFactor,Stationary
dₚ,0.01,994.9222222222226,10123.479950341407,10.175147086100827,Yes
dₚ,0.02,500.7666666666667,4108.582122905024,8.204583883854804,Yes
dₚ,0.03,341.35,3702.6086592178776,10.846956669746236,Yes
dₚ,0.04,248.97222222222214,1641.6584419615137,6.593741371261242,Yes
dₚ,0.05,200.11666666666667,1567.5002793296078,7.832932186206085,Yes
dₚ,0.06,168.1333333333333,1115.669273743016,6.635622167385108,Yes
dₚ,0.07,146.9666666666668,904.8033519553076,6.15652087971404,Yes
dₚ,0.08,123.51666666666665,870.9438547486033,7.051225379154797,Yes
dₚ,0.09,111.01111111111115,691.1842333954069,6.2262617361211685,Yes
dₚ,0.1,102.1944444444444,688.503879577902,6.737194798805241,Yes
dₚ,0.2,48.294444444444444,199.41561142147734,4.129162551002636,Yes
dₚ,0.3,34.344444444444456,132.68516449410293,3.8633661612647234,Yes
dₚ,0.4,26.08333333333333,83.70810055865921,3.209256251450194,Yes
dₚ,0.5,19.177777777777777,56.0687771570453,2.9236326443418754,Yes
dₚ,0.6,17.34999999999999,49.066759776536315,2.828055318532354,Yes
dₚ,0.7,14.283333333333331,28.874581005586585,2.021557596657171,Yes
dₚ,0.8,12.527777777777786,25.680788330229678,2.0499077159385095,Yes
dₚ,0.9,11.038888888888893,23.668870266914972,2.144135202840812,Yes
dₚ,1.0,10.522222222222224,17.033022967101175,1.618766702258823,Yes
