Parameter,ParameterValue,Mean,Variance,FanoFactor,Stationary
kₚ,0.01,10.072222222222226,11.732184978274363,1.1648060099775976,Yes
kₚ,0.02,20.016666666666662,24.26229050279331,1.2121044381079091,Yes
kₚ,0.03,30.59444444444445,41.47147734326503,1.3555231381492108,Yes
kₚ,0.04,39.59444444444443,46.3541589075108,1.1707238113304261,Yes
kₚ,0.05,50.47222222222222,79.69196151458722,1.5789271406302365,Yes
kₚ,0.06,60.72222222222223,92.40285536933582,1.5217304635389246,Yes
kₚ,0.07,70.43888888888887,129.09680322780878,1.8327490007891463,Yes
kₚ,0.08,78.98888888888884,136.81551831160763,1.7320856165486982,Yes
kₚ,0.09,89.9777777777778,162.90453134698947,1.8104973846911643,Yes
kₚ,0.1,99.65000000000002,168.78743016759768,1.6938026108138249,Yes
kₚ,0.2,199.7611111111111,522.4063004345129,2.615155159724458,Yes
kₚ,0.3,300.5222222222223,1063.5916821849785,3.5391448736143762,Yes
kₚ,0.4,399.38888888888897,2052.518311607698,5.139147253990618,Yes
kₚ,0.5,503.3722222222221,2383.20704531347,4.7344826355185,Yes
kₚ,0.6,596.5166666666667,3635.379608938546,6.094347085477152,Yes
kₚ,0.7,697.7055555555553,4528.42119801366,6.490447384223359,Yes
kₚ,0.8,801.5777777777778,6268.155927995038,7.819772580737343,Yes
kₚ,0.9,898.9277777777775,10088.469615145872,11.222781033739317,Yes
kₚ,1.0,1004.9388888888882,8368.325853507145,8.32719874415408,Yes
